icd_value,diagnosisname,count,sepsis_category,icd_type,icd_l1_name,icd_l2_name,icd_l3_name
D80.1,Nonfamilial hypogammaglobulinemia,648,,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),Certain disorders involving the immune mechanism (D80-D89),Immunodeficiency with predominantly antibody defects
B96.81,Helicobacter pylori (H. pylori) as the cause of diseases classified elsewhere,647,,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Bacterial and viral infectious agents (B95-B97),Other bacterial agents as the cause of diseases classified elsewhere
L03.221,Cellulitis of neck,647,infection_skin,ICD-10-CM,Diseases of the skin and subcutaneous tissue (L00-L99),Infections of the skin and subcutaneous tissue (L00-L08),Cellulitis and acute lymphangitis
K29.60,Other gastritis without bleeding,646,,ICD-10-CM,Diseases of the digestive system (K00-K95),"Diseases of esophagus, stomach and duodenum (K20-K31)",Gastritis and duodenitis
F03.91,"Unspecified dementia, unspecified severity, with behavioral disturbance (CMS code)",645,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)",Mental disorders due to known physiological conditions (F01-F09),Unspecified dementia
Z86.39,"Personal history of other endocrine, nutritional and metabolic disease",645,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Personal history of certain other diseases
D35.2,Benign neoplasm of pituitary gland (CMS code),644,,ICD-10-CM,Neoplasms (C00-D49),"Benign neoplasms, except benign neuroendocrine tumors (D10-D36)",Benign neoplasm of other and unspecified endocrine glands
E13.9,Other specified diabetes mellitus without complications (CMS code),644,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Diabetes mellitus (E08-E13),Other specified diabetes mellitus
F20.3,Undifferentiated schizophrenia (CMS code),644,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)","Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders (F20-F29)",Schizophrenia
L89.153,"Pressure ulcer of sacral region, stage 3 (CMS code)",643,,ICD-10-CM,Diseases of the skin and subcutaneous tissue (L00-L99),Other disorders of the skin and subcutaneous tissue (L80-L99),Pressure ulcer
D89.9,"Disorder involving the immune mechanism, unspecified",642,,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),Certain disorders involving the immune mechanism (D80-D89),"Other disorders involving the immune mechanism, not elsewhere classified"
S01.111A,"Laceration without foreign body of right eyelid and periocular area, initial encounter",641,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the head (S00-S09),Open wound of head
W17.89XA,"Other fall from one level to another, initial encounter",641,,ICD-10-CM,External causes of morbidity (V00-Y99),"Slipping, tripping, stumbling and falls (W00-W19)",Other fall from one level to another
I51.89,Other ill-defined heart diseases,640,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other forms of heart disease (I30-I52),Complications and ill-defined descriptions of heart disease
I65.21,Occlusion and stenosis of right carotid artery,639,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Cerebrovascular diseases (I60-I69),"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"
N83.8,"Other noninflammatory disorders of ovary, fallopian tube and broad ligament",639,,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Noninflammatory disorders of female genital tract (N80-N98),"Noninflammatory disorders of ovary, fallopian tube and broad ligament"
S22.41XA,"Multiple fractures of ribs, right side, initial encounter for closed fracture",639,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the thorax (S20-S29),"Fracture of rib(s), sternum and thoracic spine"
T83.518A,"Infection and inflammatory reaction due to other urinary catheter, initial encounter",639,infection_other,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Complications of surgical and medical care, not elsewhere classified (T80-T88)","Complications of genitourinary prosthetic devices, implants and grafts"
W25.XXXA,"Contact with sharp glass, initial encounter",639,,ICD-10-CM,External causes of morbidity (V00-Y99),Exposure to inanimate mechanical forces (W20-W49),Contact with sharp glass
M48.56XA,"Collapsed vertebra, not elsewhere classified, lumbar region, initial encounter for fracture (CMS code)",638,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Spondylopathies (M45-M49),Other spondylopathies
R22.41,"Localized swelling, mass and lump, right lower limb",637,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the skin and subcutaneous tissue (R20-R23),"Localized swelling, mass and lump of skin and subcutaneous tissue"
D32.0,Benign neoplasm of cerebral meninges (CMS code),637,,ICD-10-CM,Neoplasms (C00-D49),"Benign neoplasms, except benign neuroendocrine tumors (D10-D36)",Benign neoplasm of meninges
I62.03,Nontraumatic chronic subdural hemorrhage (CMS code),636,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Cerebrovascular diseases (I60-I69),Other and unspecified nontraumatic intracranial hemorrhage
I25.9,"Chronic ischemic heart disease, unspecified",636,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Ischemic heart diseases (I20-I25),Chronic ischemic heart disease
H54.61,"Unqualified visual loss, right eye, normal vision left eye",635,,ICD-10-CM,Diseases of the eye and adnexa (H00-H59),Visual disturbances and blindness (H53-H54),Blindness and low vision
H11.32,"Conjunctival hemorrhage, left eye",635,,ICD-10-CM,Diseases of the eye and adnexa (H00-H59),Disorders of conjunctiva (H10-H11),Other disorders of conjunctiva
M84.58XA,"Pathological fracture in neoplastic disease, other specified site, initial encounter for fracture",634,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Disorders of bone density and structure (M80-M85),Disorder of continuity of bone
S69.92XA,"Unspecified injury of left wrist, hand and finger(s), initial encounter",634,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Injuries to the wrist, hand and fingers (S60-S69)","Other and unspecified injuries of wrist, hand and finger(s)"
S22.31XA,"Fracture of one rib, right side, initial encounter for closed fracture",633,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the thorax (S20-S29),"Fracture of rib(s), sternum and thoracic spine"
Z20.2,Contact with and (suspected) exposure to infections with a predominantly sexual mode of transmission,633,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to communicable diseases (Z20-Z29),Contact with and (suspected) exposure to communicable diseases
N50.812,Left testicular pain,633,,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Diseases of male genital organs (N40-N53),Other and unspecified disorders of male genital organs
R82.71,Bacteriuria,633,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Abnormal findings on examination of urine, without diagnosis (R80-R82)",Other and unspecified abnormal findings in urine
K61.2,Abscess of anal and rectal regions,633,infection_abdominal,ICD-10-CM,Diseases of the digestive system (K00-K95),Other diseases of intestines (K55-K64),Abscess of anal and rectal regions
S80.00XA,Contusion of knee,632,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the knee and lower leg (S80-S89),Superficial injury of knee and lower leg
C71.1,Malignant neoplasm of frontal lobe (CMS code),632,,ICD-10-CM,Neoplasms (C00-D49),"Malignant neoplasms of eye, brain and other parts of central nervous system (C69-C72)",Malignant neoplasm of brain
L02.413,Cutaneous abscess of right upper limb,632,infection_skin,ICD-10-CM,Diseases of the skin and subcutaneous tissue (L00-L99),Infections of the skin and subcutaneous tissue (L00-L08),"Cutaneous abscess, furuncle and carbuncle"
Z65.8,Other specified problems related to psychosocial circumstances,632,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to socioeconomic and psychosocial circumstances (Z55-Z65),Problems related to other psychosocial circumstances
I11.9,Hypertensive heart disease without heart failure,632,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Hypertensive diseases (I10-I16),Hypertensive heart disease
I82.412,Acute embolism and thrombosis of left femoral vein (CMS code),630,,ICD-10-CM,Diseases of the circulatory system (I00-I99),"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (I80-I89)",Other venous embolism and thrombosis
M48.54XA,"Collapsed vertebra, not elsewhere classified, thoracic region, initial encounter for fracture (CMS code)",630,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Spondylopathies (M45-M49),Other spondylopathies
H81.399,"Other peripheral vertigo, unspecified ear",630,,ICD-10-CM,Diseases of the ear and mastoid process (H60-H95),Diseases of inner ear (H80-H83),Disorders of vestibular function
K63.5,Polyp of colon,629,,ICD-10-CM,Diseases of the digestive system (K00-K95),Other diseases of intestines (K55-K64),Other diseases of intestine
E83.9,"Disorder of mineral metabolism, unspecified",629,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Metabolic disorders (E70-E88),Disorders of mineral metabolism
G20.C,Parkinsonism (CMS code),629,,ICD-10-CM,,,
N13.1,"Hydronephrosis with ureteral stricture, not elsewhere classified",628,,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Renal tubulo-interstitial diseases (N10-N16),Obstructive and reflux uropathy
I34.1,Nonrheumatic mitral (valve) prolapse,628,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other forms of heart disease (I30-I52),Nonrheumatic mitral valve disorders
I69.398,Other sequelae of cerebral infarction,627,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Cerebrovascular diseases (I60-I69),Sequelae of cerebrovascular disease
I21.19,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall (CMS code),627,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Ischemic heart diseases (I20-I25),Acute myocardial infarction
F33.9,"Major depressive disorder, recurrent, unspecified",627,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)",Mood [affective] disorders (F30-F39),"Major depressive disorder, recurrent"
E61.1,Iron deficiency,626,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Other nutritional deficiencies (E50-E64),Deficiency of other nutrient elements
Z83.438,Family history of other disorder of lipoprotein metabolism and other lipidemia,625,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Family history of other specific disorders
Z68.23,"Body mass index (BMI) 23.0-23.9, adult",625,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Body mass index [BMI] (Z68),Body mass index [BMI]
M79.1,Myalgia,624,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Other soft tissue disorders (M70-M79),"Other and unspecified soft tissue disorders, not elsewhere classified"
S80.12XA,"Contusion of left lower leg, initial encounter",624,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the knee and lower leg (S80-S89),Superficial injury of knee and lower leg
R94.39,Abnormal result of other cardiovascular function study,623,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Abnormal findings on diagnostic imaging and in function studies, without diagnosis (R90-R94)",Abnormal results of function studies
F42.9,"Obsessive-compulsive disorder, unspecified",622,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)","Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders (F40-F48)",Obsessive-compulsive disorder
Z46.59,Encounter for fitting and adjustment of other gastrointestinal appliance and device,622,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Encounters for other specific health care (Z40-Z53),Encounter for fitting and adjustment of other devices
J98.01,Acute bronchospasm,622,,ICD-10-CM,Diseases of the respiratory system (J00-J99),Other diseases of the respiratory system (J96-J99),Other respiratory disorders
D49.2,Thoracic spine tumor,622,,ICD-10-CM,Neoplasms (C00-D49),Neoplasms of unspecified behavior (D49),Neoplasms of unspecified behavior
S22.32XA,"Fracture of one rib, left side, initial encounter for closed fracture",621,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the thorax (S20-S29),"Fracture of rib(s), sternum and thoracic spine"
F06.1,Catatonic disorder due to known physiological condition,617,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)",Mental disorders due to known physiological conditions (F01-F09),Other mental disorders due to known physiological condition
R82.81,Pyuria,617,,ICD-10-CM,,,
H54.62,"Unqualified visual loss, left eye, normal vision right eye",616,,ICD-10-CM,Diseases of the eye and adnexa (H00-H59),Visual disturbances and blindness (H53-H54),Blindness and low vision
J15.1,Pneumonia due to Pseudomonas (CMS code),616,infection_respiratory,ICD-10-CM,Diseases of the respiratory system (J00-J99),Influenza and pneumonia (J09-J18),"Bacterial pneumonia, not elsewhere classified"
N94.89,Adnexal mass,615,,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Noninflammatory disorders of female genital tract (N80-N98),Pain and other conditions associated with female genital organs and menstrual cycle
J45.21,Mild intermittent asthma with (acute) exacerbation,614,,ICD-10-CM,Diseases of the respiratory system (J00-J99),Chronic lower respiratory diseases (J40-J47),Asthma
C76.0,"Malignant neoplasm of head, face and neck (CMS code)",613,,ICD-10-CM,Neoplasms (C00-D49),"Malignant neoplasms of ill-defined, other secondary and unspecified sites (C76-C80)",Malignant neoplasm of other and ill-defined sites
Z68.34,"Body mass index (BMI) 34.0-34.9, adult",611,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Body mass index [BMI] (Z68),Body mass index [BMI]
M25.529,"Pain in joint, upper arm",611,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Other joint disorders (M20-M25),"Other joint disorder, not elsewhere classified"
S06.9X9A,"Unspecified intracranial injury with loss of consciousness of unspecified duration, initial encounter (CMS code)",610,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the head (S00-S09),Intracranial injury
S22.42XA,"Multiple fractures of ribs, left side, initial encounter for closed fracture",610,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the thorax (S20-S29),"Fracture of rib(s), sternum and thoracic spine"
C22.8,"Malignant neoplasm of liver, primary (CMS code)",609,,ICD-10-CM,Neoplasms (C00-D49),Malignant neoplasms of digestive organs (C15-C26),Malignant neoplasm of liver and intrahepatic bile ducts
C02.9,"Malignant neoplasm of tongue, unspecified (CMS code)",609,,ICD-10-CM,Neoplasms (C00-D49),"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",Malignant neoplasm of other and unspecified parts of tongue
M17.11,"Unilateral primary osteoarthritis, right knee",608,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Osteoarthritis (M15-M19),Osteoarthritis of knee
M79.644,Pain in right finger(s),608,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Other soft tissue disorders (M70-M79),"Other and unspecified soft tissue disorders, not elsewhere classified"
S06.5X0A,"Traumatic subdural hemorrhage without loss of consciousness, initial encounter (CMS code)",607,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the head (S00-S09),Intracranial injury
C92.01,"Acute myeloblastic leukemia, in remission (CMS code)",607,,ICD-10-CM,Neoplasms (C00-D49),"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)",Myeloid leukemia
K50.00,Crohn's disease of small intestine without complications (CMS code),606,,ICD-10-CM,Diseases of the digestive system (K00-K95),Noninfective enteritis and colitis (K50-K52),Crohn's disease [regional enteritis]
D86.9,"Sarcoidosis, unspecified",605,,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),Certain disorders involving the immune mechanism (D80-D89),Sarcoidosis
B02.7,Disseminated zoster,603,,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Viral infections characterized by skin and mucous membrane lesions (B00-B09),Zoster [herpes zoster]
T86.12,Kidney transplant failure,602,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Complications of surgical and medical care, not elsewhere classified (T80-T88)",Complications of transplanted organs and tissue
I72.9,Aneurysm of unspecified site,602,,ICD-10-CM,Diseases of the circulatory system (I00-I99),"Diseases of arteries, arterioles and capillaries (I70-I79)",Other aneurysm
K22.70,Barrett's esophagus without dysplasia,600,,ICD-10-CM,Diseases of the digestive system (K00-K95),"Diseases of esophagus, stomach and duodenum (K20-K31)",Other diseases of esophagus
F31.30,"Bipolar disorder, current episode depressed, mild or moderate severity, unspecified (CMS code)",600,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)",Mood [affective] disorders (F30-F39),Bipolar disorder
T81.4XXA,"Infection following a procedure, initial encounter",599,,ICD-10-CM,,,
F32.3,"Major depressive disorder, single episode, severe with psychotic features (CMS code)",599,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)",Mood [affective] disorders (F30-F39),"Major depressive disorder, single episode"
R79.82,Elevated C-reactive protein (CRP),599,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Abnormal findings on examination of blood, without diagnosis (R70-R79)",Other abnormal findings of blood chemistry
K22.89,Other specified disease of esophagus,599,,ICD-10-CM,,,
F03.918,"Unspecified dementia, unspecified severity, with other behavioral disturbance (CMS code)",598,,ICD-10-CM,,,
E10.43,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy (CMS code),598,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Diabetes mellitus (E08-E13),Type 1 diabetes mellitus
N50.811,Right testicular pain,594,,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Diseases of male genital organs (N40-N53),Other and unspecified disorders of male genital organs
Z91.51,Personal history of suicidal behavior,594,,ICD-10-CM,,,
A49.9,"Bacterial infection, unspecified",594,infection_other,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Other bacterial diseases (A30-A49),Bacterial infection of unspecified site
K63.3,Ulcer of intestine,594,,ICD-10-CM,Diseases of the digestive system (K00-K95),Other diseases of intestines (K55-K64),Other diseases of intestine
Z45.02,Encounter for adjustment and management of automatic implantable cardiac defibrillator,593,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Encounters for other specific health care (Z40-Z53),Encounter for adjustment and management of implanted device
Z53.20,Procedure and treatment not carried out because of patient's decision for unspecified reasons,591,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Encounters for other specific health care (Z40-Z53),"Persons encountering health services for specific procedures and treatment, not carried out"
Z68.35,"Body mass index (BMI) 35.0-35.9, adult",590,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Body mass index [BMI] (Z68),Body mass index [BMI]
I82.621,Acute embolism and thrombosis of deep veins of right upper extremity (CMS code),590,,ICD-10-CM,Diseases of the circulatory system (I00-I99),"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (I80-I89)",Other venous embolism and thrombosis
W10.9XXA,"Fall (on) (from) unspecified stairs and steps, initial encounter",589,,ICD-10-CM,External causes of morbidity (V00-Y99),"Slipping, tripping, stumbling and falls (W00-W19)",Fall on and from stairs and steps
T50.8X5A,"Adverse effect of diagnostic agents, initial encounter",588,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances (T36-T50)","Poisoning by, adverse effect of and underdosing of diuretics and other and unspecified drugs, medicaments and biological substances"
L30.4,Erythema intertrigo,587,,ICD-10-CM,Diseases of the skin and subcutaneous tissue (L00-L99),Dermatitis and eczema (L20-L30),Other and unspecified dermatitis
V49.40XA,"Driver injured in collision with unspecified motor vehicles in traffic accident, initial encounter",587,,ICD-10-CM,External causes of morbidity (V00-Y99),Car occupant injured in transport accident (V40-V49),Car occupant injured in other and unspecified transport accidents
M46.26,"Osteomyelitis of vertebra, lumbar region (CMS code)",587,infection_other,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Spondylopathies (M45-M49),Other inflammatory spondylopathies
I82.890,Acute embolism and thrombosis of other specified veins,586,,ICD-10-CM,Diseases of the circulatory system (I00-I99),"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (I80-I89)",Other venous embolism and thrombosis
I65.22,Occlusion and stenosis of left carotid artery,585,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Cerebrovascular diseases (I60-I69),"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"
Z13.9,"Encounter for screening, unspecified",583,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons encountering health services for examinations (Z00-Z13),Encounter for screening for other diseases and disorders
I82.C11,Acute embolism and thrombosis of right internal jugular vein (CMS code),583,,ICD-10-CM,Diseases of the circulatory system (I00-I99),"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (I80-I89)",Other venous embolism and thrombosis
T86.10,Complications of transplanted kidney,582,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Complications of surgical and medical care, not elsewhere classified (T80-T88)",Complications of transplanted organs and tissue
T85.598A,"Other mechanical complication of other gastrointestinal prosthetic devices, implants and grafts, initial encounter",581,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Complications of surgical and medical care, not elsewhere classified (T80-T88)","Complications of other internal prosthetic devices, implants and grafts"
Z04.6,"Encounter for general psychiatric examination, requested by authority",581,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons encountering health services for examinations (Z00-Z13),Encounter for examination and observation for other reasons
M25.78,"Osteophyte, vertebrae",581,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Other joint disorders (M20-M25),"Other joint disorder, not elsewhere classified"
A41.02,Sepsis due to methicillin resistant Staphylococcus aureus (CMS code),580,sepsis_bacteremia,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Other bacterial diseases (A30-A49),Other sepsis
H43.812,"Vitreous degeneration, left eye",580,,ICD-10-CM,Diseases of the eye and adnexa (H00-H59),Disorders of vitreous body and globe (H43-H44),Disorders of vitreous body
L03.818,Cellulitis and abscess of other specified site,579,infection_skin,ICD-10-CM,Diseases of the skin and subcutaneous tissue (L00-L99),Infections of the skin and subcutaneous tissue (L00-L08),Cellulitis and acute lymphangitis
S05.8X9A,Superficial injury of cornea,579,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the head (S00-S09),Injury of eye and orbit
E11.628,Type 2 diabetes mellitus with other skin complications (CMS code),578,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Diabetes mellitus (E08-E13),Type 2 diabetes mellitus
F48.9,Unspecified nonpsychotic mental disorder,578,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)","Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders (F40-F48)",Other nonpsychotic mental disorders
G97.1,Other reaction to spinal and lumbar puncture,578,,ICD-10-CM,Diseases of the nervous system (G00-G99),Other disorders of the nervous system (G89-G99),"Intraoperative and postprocedural complications and disorders of nervous system, not elsewhere classified"
Z83.79,Family history of other diseases of the digestive system,576,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Family history of other specific disorders
I70.229,Critical lower limb ischemia (CMS code),576,,ICD-10-CM,Diseases of the circulatory system (I00-I99),"Diseases of arteries, arterioles and capillaries (I70-I79)",Atherosclerosis
C77.0,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck (CMS code)",575,,ICD-10-CM,Neoplasms (C00-D49),"Malignant neoplasms of ill-defined, other secondary and unspecified sites (C76-C80)",Secondary and unspecified malignant neoplasm of lymph nodes
M79.674,Pain in right toe(s),575,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Other soft tissue disorders (M70-M79),"Other and unspecified soft tissue disorders, not elsewhere classified"
C68.9,"Malignant neoplasm of urinary organ, unspecified (CMS code)",575,,ICD-10-CM,Neoplasms (C00-D49),Malignant neoplasms of urinary tract (C64-C68),Malignant neoplasm of other and unspecified urinary organs
I13.10,"Hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",574,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Hypertensive diseases (I10-I16),Hypertensive heart and chronic kidney disease
Y92.29,"Place of occurrence, public building",573,,ICD-10-CM,External causes of morbidity (V00-Y99),Supplementary factors related to causes of morbidity classified elsewhere (Y90-Y99),Place of occurrence of the external cause
G95.29,Other cord compression (CMS code),573,,ICD-10-CM,Diseases of the nervous system (G00-G99),Other disorders of the nervous system (G89-G99),Other and unspecified diseases of spinal cord
T81.89XA,"Other complications of procedures, not elsewhere classified, initial encounter",572,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Complications of surgical and medical care, not elsewhere classified (T80-T88)","Complications of procedures, not elsewhere classified"
Z94.81,Bone marrow transplant status (CMS code),572,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Transplanted organ and tissue status
T45.515A,"Adverse effect of anticoagulants, initial encounter",572,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances (T36-T50)","Poisoning by, adverse effect of and underdosing of primarily systemic and hematological agents, not elsewhere classified"
H11.31,"Conjunctival hemorrhage, right eye",572,,ICD-10-CM,Diseases of the eye and adnexa (H00-H59),Disorders of conjunctiva (H10-H11),Other disorders of conjunctiva
K56.0,Paralytic ileus (CMS code),572,,ICD-10-CM,Diseases of the digestive system (K00-K95),Other diseases of intestines (K55-K64),Paralytic ileus and intestinal obstruction without hernia
K51.00,Ulcerative (chronic) pancolitis without complications (CMS code),572,,ICD-10-CM,Diseases of the digestive system (K00-K95),Noninfective enteritis and colitis (K50-K52),Ulcerative colitis
O21.9,"Vomiting of pregnancy, unspecified",571,,ICD-10-CM,"Pregnancy, childbirth and the puerperium (O00-O9A)",Other maternal disorders predominantly related to pregnancy (O20-O29),Excessive vomiting in pregnancy
I63.81,Other cerebral infarction due to occlusion or stenosis of small artery (CMS code),571,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Cerebrovascular diseases (I60-I69),Cerebral infarction
I25.89,Other specified forms of chronic ischemic heart disease,571,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Ischemic heart diseases (I20-I25),Chronic ischemic heart disease
K70.40,Alcoholic hepatic failure without coma (CMS code),571,,ICD-10-CM,Diseases of the digestive system (K00-K95),Diseases of liver (K70-K77),Alcoholic liver disease
S72.141A,"Displaced intertrochanteric fracture of right femur, initial encounter for closed fracture (CMS code)",571,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the hip and thigh (S70-S79),Fracture of femur
T84.7XXA,"Infection and inflammatory reaction due to other internal orthopedic prosthetic devices, implants and grafts, initial encounter",571,infection_other,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Complications of surgical and medical care, not elsewhere classified (T80-T88)","Complications of internal orthopedic prosthetic devices, implants and grafts"
Z96.41,Presence of insulin pump (external) (internal),570,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Presence of other functional implants
G08,Intracranial and intraspinal phlebitis and thrombophlebitis,570,,ICD-10-CM,Diseases of the nervous system (G00-G99),Inflammatory diseases of the central nervous system (G00-G09),Intracranial and intraspinal phlebitis and thrombophlebitis
F43.21,Adjustment disorder with depressed mood,570,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)","Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders (F40-F48)","Reaction to severe stress, and adjustment disorders"
